Barbie, 2023, 19316 half-★, 44885 ★, 28668 ★½, 152621 ★★, 147414 ★★½, 615296 ★★★, 547411 ★★★½, 1128634 ★★★★, 406002 ★★★★½, 936348 ★★★★★
Parasite, 2019, 3261 half-★, 7681 ★, 3274 ★½, 22162 ★★, 18457 ★★½, 130686 ★★★, 151528 ★★★½, 784645 ★★★★, 629450 ★★★★½, 1976278 ★★★★★
Interstellar, 2014, 5436 half-★, 13833 ★, 7069 ★½, 45801 ★★, 36376 ★★½, 201868 ★★★, 200064 ★★★½, 715673 ★★★★, 519801 ★★★★½, 1878988 ★★★★★
Fight Club, 1999, 4929 half-★, 13036 ★, 6527 ★½, 43328 ★★, 36710 ★★½, 239648 ★★★, 258091 ★★★½, 982018 ★★★★, 562208 ★★★★½, 1368304 ★★★★★
La La Land, 2016, 14219 half-★, 43518 ★, 15005 ★½, 104909 ★★, 60828 ★★½, 313040 ★★★, 242867 ★★★½, 747143 ★★★★, 397459 ★★★★½, 1226958 ★★★★★
Everything Everywhere All at Once, 2022, 12927 half-★, 28810 ★, 13722 ★½, 67014 ★★, 49814 ★★½, 202229 ★★★, 197127 ★★★½, 593403 ★★★★, 437083 ★★★★½, 1378685 ★★★★★
Oppenheimer, 2023, 6719 half-★, 16261 ★, 8871 ★½, 55676 ★★, 50339 ★★½, 245599 ★★★, 268342 ★★★½, 800514 ★★★★, 570626 ★★★★½, 900380 ★★★★★
Whiplash, 2014, 2958 half-★, 7254 ★, 3610 ★½, 23978 ★★, 20981 ★★½, 143556 ★★★, 178740 ★★★½, 734718 ★★★★, 542005 ★★★★½, 1248562 ★★★★★
Pulp Fiction, 1994, 5683 half-★, 15009 ★, 6817 ★½, 46988 ★★, 36039 ★★½, 230443 ★★★, 219734 ★★★½, 803633 ★★★★, 453019 ★★★★½, 1099168 ★★★★★
Joker, 2019, 12562 half-★, 34124 ★, 21461 ★½, 116968 ★★, 98966 ★★½, 461362 ★★★, 418425 ★★★½, 1112708 ★★★★, 385305 ★★★★½, 768169 ★★★★★
Dune, 2021, 10500 half-★, 31678 ★, 15164 ★½, 95631 ★★, 79681 ★★½, 370799 ★★★, 389715 ★★★½, 967471 ★★★★, 421325 ★★★★½, 538975 ★★★★★
The Substance, 2024, 15377 half-★, 26889 ★, 21211 ★½, 76138 ★★, 83586 ★★½, 265042 ★★★, 325371 ★★★½, 689305 ★★★★, 328280 ★★★★½, 423859 ★★★★★
Get Out, 2017, 3409 half-★, 10083 ★, 6065 ★½, 41416 ★★, 38845 ★★½, 267981 ★★★, 301939 ★★★½, 1011840 ★★★★, 463494 ★★★★½, 931808 ★★★★★
Midsommar, 2019, 18095 half-★, 41402 ★, 21211 ★½, 109988 ★★, 89450 ★★½, 397722 ★★★, 369912 ★★★½, 865290 ★★★★, 284625 ★★★★½, 561670 ★★★★★
Spider-Man: Into the Spider-Verse, 2018, 2073 half-★, 7073 ★, 2564 ★½, 21837 ★★, 19183 ★★½, 164831 ★★★, 186394 ★★★½, 803452 ★★★★, 506895 ★★★★½, 1415034 ★★★★★
The Truman Show, 1998, 1637 half-★, 5668 ★, 2956 ★½, 26790 ★★, 25898 ★★½, 226963 ★★★, 267483 ★★★½, 939774 ★★★★, 456450 ★★★★½, 909627 ★★★★★
The Batman, 2022, 5755 half-★, 19865 ★, 10525 ★½, 74449 ★★, 62340 ★★½, 324815 ★★★, 335654 ★★★½, 913449 ★★★★, 461166 ★★★★½, 644260 ★★★★★
Eternal Sunshine of the Spotless Mind, 2004, 3365 half-★, 9939 ★, 5630 ★½, 35515 ★★, 31337 ★★½, 175864 ★★★, 200729 ★★★½, 638513 ★★★★, 370808 ★★★★½, 864763 ★★★★★
Knives Out, 2019, 3412 half-★, 13781 ★, 7489 ★½, 62974 ★★, 56111 ★★½, 374368 ★★★, 367091 ★★★½, 1021790 ★★★★, 379615 ★★★★½, 609329 ★★★★★
The Dark Knight, 2008, 1983 half-★, 5068 ★, 2730 ★½, 18944 ★★, 17439 ★★½, 133115 ★★★, 148161 ★★★½, 676706 ★★★★, 503828 ★★★★½, 1436728 ★★★★★
Inception, 2010, 3598 half-★, 11322 ★, 5869 ★½, 44343 ★★, 36097 ★★½, 245374 ★★★, 242374 ★★★½, 840639 ★★★★, 437372 ★★★★½, 911382 ★★★★★
Dune: Part Two, 2024, 3274 half-★, 7398 ★, 4236 ★½, 23352 ★★, 25446 ★★½, 113623 ★★★, 152967 ★★★½, 510155 ★★★★, 493184 ★★★★½, 948383 ★★★★★
American Psycho, 2000, 7023 half-★, 17563 ★, 12246 ★½, 71028 ★★, 75173 ★★½, 379218 ★★★, 405436 ★★★½, 869843 ★★★★, 273557 ★★★★½, 439462 ★★★★★
Saltburn, 2023, 20717 half-★, 47279 ★, 36634 ★½, 152997 ★★, 156407 ★★½, 474868 ★★★, 411393 ★★★½, 610082 ★★★★, 175798 ★★★★½, 272118 ★★★★★
Spider-Man: Across the Spider-Verse, 2023, 2662 half-★, 5302 ★, 2924 ★½, 18575 ★★, 20323 ★★½, 113182 ★★★, 150500 ★★★½, 532077 ★★★★, 472492 ★★★★½, 1120865 ★★★★★
Poor Things, 2023, 17237 half-★, 27957 ★, 15930 ★½, 61255 ★★, 55708 ★★½, 180050 ★★★, 215498 ★★★½, 560931 ★★★★, 373631 ★★★★½, 501884 ★★★★★
Lady Bird, 2017, 7699 half-★, 22231 ★, 12964 ★½, 84484 ★★, 68837 ★★½, 358251 ★★★, 305035 ★★★½, 711477 ★★★★, 242456 ★★★★½, 531763 ★★★★★
Challengers, 2024, 7723 half-★, 18260 ★, 13715 ★½, 66612 ★★, 69222 ★★½, 244298 ★★★, 275594 ★★★½, 596842 ★★★★, 320204 ★★★★½, 409179 ★★★★★
Spirited Away, 2001, 2230 half-★, 5512 ★, 2644 ★½, 17157 ★★, 16482 ★★½, 115943 ★★★, 135357 ★★★½, 566858 ★★★★, 363198 ★★★★½, 1239938 ★★★★★
The Wolf of Wall Street, 2013, 8733 half-★, 22488 ★, 10557 ★½, 71120 ★★, 53970 ★★½, 323555 ★★★, 297886 ★★★½, 885590 ★★★★, 381608 ★★★★½, 623017 ★★★★★
Nosferatu, 2024, 8071 half-★, 18529 ★, 15201 ★½, 65015 ★★, 79029 ★★½, 247244 ★★★, 321487 ★★★½, 579723 ★★★★, 254841 ★★★★½, 254434 ★★★★★
